case_name,dice_12,dice_10,dice_11,dice_13,dice_17,nsd_8,nsd_2,nsd_3,nsd_5,nsd_7,cldice_1,cldice_9,cldice_15,cldice_20,cldice_21,nsd_24,nsd_25,nsd_23
BDMAP_O0000021,4.855652237173361,0.0,0.0,0.0,8.577545424568223,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000032,39.6215343967669,0.0,0.9735881131190508,1.0028932494564597,46.1561139570796,0.0,0.0,0.0,0.0,0.0,34.090909090909086,20.28985507246377,nan,nan,nan,nan,nan,0.0
BDMAP_O0000258,20.678311546510532,0.0,0.0,0.0,9.945436108431908,0.0,0.0,0.0,0.0,0.0,47.15447154471544,33.84518959573802,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000065,12.082946070137544,0.0,0.0,0.0,0.5736100387375593,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000030,27.224002061310102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,1.7204776853849313,0.0
BDMAP_O0000003,18.907879561794523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000029,14.439717685946995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,17.088251826869026,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000049,13.77761217942516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000016,22.05894541223218,0.0,0.0,0.0,2.052683908329571,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000064,18.953499300872046,0.0,8.14038491487917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000058,20.062333373236097,48.6401243395841,6.178836625263305,0.0,4.384731108661418,0.0,0.0,0.0,0.0,0.0,19.04761904761905,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000096,27.031742991168684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,31.1377245508982,nan,nan,nan,nan,nan,0.0
BDMAP_O0000018,22.698109584788604,0.0,0.0,0.0,11.682609719383429,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000010,29.214893990008754,0.0,0.0,0.0,6.41973344300865,0.0,0.0,0.0,0.0,0.0,7.865168539325842,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000012,12.497890181380543,0.0,0.0,0.0,3.767922612534993,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000036,15.686842898056705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000046,7.904637840418134,0.0,0.0,0.0,1.2813375903444737,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000035,10.47621122536022,0.0,0.0,0.0,1.5823658992385217,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000017,14.43623596893309,0.0,0.0,0.0,1.07232512339976,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000022,18.26556341331554,0.0,16.383963362126785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,19.47261663286004,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000059,27.914763819761834,22.92333142271435,4.7550735127964465,0.0,0.6338723835981399,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000048,5.291434544789932,0.0,0.0,0.0,1.6968458028163484,0.0,0.0,3.3729678977610282,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000031,24.206675545329333,0.0,0.0,0.0,0.8886891770018659,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000019,20.03769895411975,0.0,0.0,0.0,3.705578134730742,0.0,0.0,0.0,0.0,0.0,25.77903682719547,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000011,6.720739876313478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000050,12.667648013893128,0.0,0.0,0.0,0.21571334051725682,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000014,25.303455077124116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000028,7.116011053122068,0.0,0.0,0.0,7.988702552139751,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000033,20.52271385862216,0.0,0.0,0.0,15.835686960454323,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000041,3.411848151635392,3.384574005855652,7.7491505683382895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.77573874720035,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000259,18.92578563191936,0.0,0.0,0.0,3.964699633816536,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000043,11.534818541846754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000004,36.59362262094203,0.0,0.0,0.0,16.801345053489054,0.0,0.0,0.0,0.0,0.0,48.79227053140096,26.319787314849986,nan,nan,nan,nan,nan,0.0
BDMAP_O0000034,13.815190364260335,0.0,0.0,0.0,2.3132393587881603,nan,0.0,0.0,0.0,0.0,nan,60.1173386593434,nan,nan,nan,nan,nan,0.0
BDMAP_O0000023,8.140607551450513,0.0,0.0,0.0,2.6005304207792537,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.4345678556591989,0.0
BDMAP_O0000038,15.634351366220095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,7.708779443254819,nan,nan,nan,nan,nan,0.0
BDMAP_O0000006,22.543849553600502,0.0,0.0,0.0,0.024881487733693832,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000037,15.478408838875811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000009,23.69558963074321,0.0,1.834175209409579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000164,22.7957785206309,0.0,0.0,10.621009596853073,6.446556248624908,0.0,0.0,0.0,0.0,0.0,44.94773519163763,49.08678773351397,nan,nan,nan,nan,nan,0.0
BDMAP_O0000045,25.39029578292592,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000039,9.912556579292135,0.0,0.0,0.0,9.890720850576292,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000005,21.251981913358385,0.0,0.0,0.0,14.581218591594908,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000465,8.237082363201113,0.0,0.0,0.0,5.283142043434701,0.0,0.0,0.0,0.0,0.0,nan,42.27642276422765,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000460,18.689253418219153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98901098901098,0.0,nan,nan,nan,0.0,0.0,nan
BDMAP_O0000047,2.853607390899299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000457,32.63820624485856,0.0,0.0,22.986800506505897,22.873559808571514,0.0,0.0,0.0,1.0959510302204973,0.4759585437893491,54.434993924665854,57.18815367548444,nan,nan,nan,0.0,0.0,nan
BDMAP_O0000055,26.86677010515539,0.0,0.0,0.0,14.671016737287118,0.0,0.0,0.0,0.0,0.0,nan,30.46594982078853,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000007,11.358304545245671,0.0,0.0,0.0,5.822899153286037,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000458,35.366915267725254,0.0,3.134094466872201,0.0,45.60530511407831,15.947412073137258,0.0,30.25886879951826,0.0,0.0,nan,50.45993587499825,nan,nan,nan,nan,0.0,nan
BDMAP_O0000044,14.954014094309844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000464,6.868536474594837,0.0,0.0,0.0,29.84362901082055,0.0,0.0,0.0,0.0,0.0,34.63203463203463,nan,nan,nan,nan,0.0,0.0,nan
BDMAP_O0000008,22.018460489839406,0.0,0.006853948315154094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.224283305227654,nan,nan,nan,nan,0.0,nan,0.0
BDMAP_O0000165,22.826976761687938,0.0,0.0,0.0,48.93695801041966,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000020,13.057839357906348,0.0,0.0,0.0,0.17598564799584537,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
BDMAP_O0000054,6.010877148182429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
BDMAP_O0000461,3.580842996352973,0.0,0.0,0.0,21.960218289212676,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan
BDMAP_O0000002,10.452860112152807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,23.103448275862068,nan,nan,nan,nan,0.0,0.0
BDMAP_O0000463,17.66734193301087,0.0,0.027707610703927736,0.0,17.56347889956046,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan
BDMAP_O0000001,7.521943239629136,0.0,17.3857378287082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.9038553069966682,nan,nan,nan,nan,nan,0.0
BDMAP_O0000462,7.592290350323252,0.0,0.0,0.6171439350606254,19.4577709432133,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,4.545373413703706,nan
