case_name,dice_12,dice_10,dice_11,dice_13,dice_17,nsd_8,nsd_2,nsd_3,nsd_5,nsd_7,cldice_1,cldice_9,cldice_15,cldice_20,cldice_21,nsd_24,nsd_25,nsd_23
BDMAP_O0000030,86.15969164463883,98.59347469233816,88.31716211409565,64.73254396479308,66.3912373953755,98.24069175141787,60.253248117634506,22.491987353895002,66.24411473846816,81.58543456618072,86.70520231213872,96.61016949152543,93.97590361445783,93.04677623261695,90.9090909090909,nan,33.187844972672295,70.25562621651997
BDMAP_O0000258,94.1640944173474,99.69056348640346,99.1135095476294,92.15430582191088,99.58863037106893,88.13711767598087,98.59307723991975,97.55505824250046,93.99815758701199,99.37995711461262,97.26775956284153,100.0,98.14814814814815,91.17493472584857,91.47710039429784,nan,79.64939208850585,28.710905187818998
BDMAP_O0000259,94.62456680116637,99.96170771296183,97.92766145993895,88.96516852177096,99.85832775886429,95.28078196021849,97.2039473164456,94.66132931808346,90.45791673203948,98.99575305713122,100.0,99.48186528497409,98.33333333333333,95.05565622573131,82.81479805407852,nan,77.05361923194036,0.26966376881689874
BDMAP_O0000003,95.27383817737626,95.68152241816267,96.53472271028846,83.33622528566227,98.7502960436442,94.89387901536547,95.15539035138694,95.4276240125469,68.23309390316668,98.10699071067125,96.39639639639638,100.0,88.0,72.33953410423997,85.38628606887993,nan,nan,24.012977606676674
BDMAP_O0000065,86.78310136646574,97.3275653687416,99.22298764376191,78.41580515379663,84.56045089711039,90.55072619475465,98.17186413770551,92.01932986505675,73.48121268808198,92.25486524762438,89.36170212765957,100.0,96.84210526315789,98.0392156862745,97.5609756097561,44.87497349697562,nan,34.31825028263698
BDMAP_O0000059,73.99143603124173,89.55991271767515,91.57712138273702,95.60071358725449,82.13204323203193,96.87342568099595,97.65944992177901,91.00337364454369,94.61380553732884,91.65993069685527,100.0,100.0,98.37837837837839,96.63461538461539,91.4112036891474,nan,97.43633194740761,86.70627073035617
BDMAP_O0000049,85.56652345133143,94.08769969203937,89.53367234875334,70.80506687418237,89.25441739583731,93.40379890717611,46.21877508866834,89.25945782003448,77.91871381869129,75.64622260942375,98.65229110512131,100.0,77.77526565679403,67.36842105263158,89.1139240506329,43.77044203832382,46.92180695372461,63.87082666711642
BDMAP_O0000023,89.21624953905773,98.08623600881485,98.60399739573033,66.63735571698682,92.4074593748337,50.95950355469988,94.1204240436902,80.39821094729567,79.3080899798976,72.34076435332307,99.41520467836257,95.69643683479872,92.68292682926828,nan,89.27655207798871,0.0,7.075705001580649,89.39656629181005
BDMAP_O0000018,97.51012141368574,93.39914933351328,93.23547295975347,79.82219528051438,96.80627700609207,96.88524371914416,85.19222197232588,94.36972108044735,81.34734020724834,89.28170100790635,100.0,100.0,92.85714285714286,98.6446342369105,82.35294117647058,nan,nan,74.95405573163163
BDMAP_O0000096,99.15629853933079,99.98616572254606,99.71718933196033,94.6549704962746,99.64526708943339,99.83365504309832,98.44357266256833,99.30474109836793,97.80585269483278,96.91751798698392,95.8941650490188,100.0,98.32402234636871,100.0,88.77086494688923,nan,nan,89.30134616163137
