case_name,dice_12,dice_10,dice_11,dice_13,dice_17,nsd_8,nsd_2,nsd_3,nsd_5,nsd_7,cldice_1,cldice_9,cldice_15,cldice_20,cldice_21,nsd_24,nsd_25,nsd_23
BDMAP_O0000258,78.03203788678168,97.8103297841003,92.55444797002687,66.7251046121785,96.30792700526656,0.0,71.32918338367632,78.45719653894052,81.98601519523511,72.78710900233062,93.78531073446328,97.8021978021978,69.76744186046511,67.51507032819825,31.21529919802591,nan,53.8903462881146,20.035086327174216
BDMAP_O0000021,91.31377597504824,91.84158225489699,64.11816260416067,69.30574220752426,98.00800572829651,29.925609658566373,62.980786709563944,79.77015194267172,77.60519153655538,67.89465533202855,89.65517241379311,98.76106194690266,51.11656124951593,88.7008461921354,64.22018348623853,0.0,33.345485695084456,13.442892368506653
BDMAP_O0000003,84.94447760534645,97.89559911841692,96.52725073093913,72.45743388263193,96.11928863385968,63.60544437662769,92.34640386132817,79.41919199538957,74.94480526966001,87.54591482756668,80.20833333333333,100.0,81.17539026629935,72.19021127226969,73.5042735042735,nan,nan,10.113791133256383
BDMAP_O0000029,90.30335059230086,97.863150974326,98.10635657409296,72.47822961789558,97.06257347038517,73.13879865897886,89.22925652311675,67.88206408052181,79.88939466717324,76.52774753445057,88.07947019867551,100.0,78.47938144329896,77.7622934501294,83.47826086956522,0.0,nan,12.888527478211898
BDMAP_O0000016,84.2952103248894,96.94810419804712,95.67236615892168,57.147310763655454,95.40566515323717,68.53893529776353,75.86147107125109,91.66695435853106,77.33688727308345,69.45847738431705,97.53064612993253,94.64285714285715,94.02985074626866,82.41758241758242,83.79772961816306,nan,0.0,47.15826055366066
BDMAP_O0000059,93.89245352380334,99.10659510998873,98.71590778412708,77.97888582442238,98.80434506683852,71.33450159705446,57.441273964309644,79.79922252127204,76.7877266112064,89.499610518894,100.0,94.8051948051948,96.97914427004946,80.9455174401845,72.15189873417721,nan,91.36195034960221,0.0
BDMAP_O0000058,93.95336964138113,97.33289314825387,97.16630003258749,64.0169414962111,96.75383899681404,72.68677015781213,86.96269358612358,73.27946726974605,84.5364333648273,92.08337952132344,100.0,100.0,88.15068493150685,0.0,27.27272727272727,nan,0.0,52.724177924634176
BDMAP_O0000259,86.45849009383723,98.26700610901243,94.43003024164415,72.40085901152348,95.82130117559035,37.06929278853669,70.94782883083307,81.64154139432442,45.52481433897365,72.7754546815524,99.34640522875817,100.0,64.30338004946414,73.92452244137287,63.24549237170596,nan,10.577319426528929,0.804250709724933
BDMAP_O0000023,75.51054036976052,87.619767459031,95.4298798376555,26.25226949559391,85.28985737131907,1.5405451430213233,68.37763967804075,64.5339698945453,51.51107798083318,44.78030467097213,99.12023460410558,92.04428718182857,50.0,nan,63.09067688378034,0.0,19.024456229159796,21.1181596846904
BDMAP_O0000038,89.77144472391004,90.38637979541394,94.48113371529367,68.98084751645168,96.09306798096856,94.26607471740965,80.95849129617598,66.64330610074629,79.16747268564205,69.47364001894861,84.78260869565216,94.19613517498853,53.20409262250942,38.46153846153846,16.666666666666664,nan,nan,20.438333160748474
BDMAP_O0000096,96.46320421544175,98.43340808067082,98.65486648809791,77.73716417011939,98.15158926212324,88.20479185779152,94.18983825196452,94.66944124061149,82.61521545959869,82.58970085864237,89.07563025210084,100.0,86.10723539964123,100.0,53.333333333333336,nan,nan,72.37050356774087
BDMAP_O0000012,93.57414460126763,97.14975979547104,97.72873482134112,71.86802949127468,98.13476637283759,18.211962548108374,49.732529867787825,45.72549395412551,36.43976858301474,55.04851383428622,90.8752327746741,84.18325808600399,18.181818181818183,16.54135338345865,nan,nan,0.0,0.0
BDMAP_O0000018,75.00530076059808,79.1154081006883,91.11375207181577,50.22312248992268,80.01457975793763,59.02277028513166,39.17972325470325,65.43271635754358,75.86477801447252,41.96017869767383,89.7196261682243,95.69377990430623,0.0,66.3716814159292,nan,nan,nan,0.0
BDMAP_O0000019,89.27924936904587,91.99570740107642,93.24949795707042,65.56749170622552,87.36759369495269,54.44891528779602,0.0,86.61511129936767,80.59756135759126,73.0454921889086,92.59595435684646,98.76284836282719,59.89150090415913,nan,60.3448275862069,27.39315838298052,26.1146758595199,0.7687919846702019
