case_name,dice_12,dice_10,dice_11,dice_13,dice_17,nsd_8,nsd_2,nsd_3,nsd_5,nsd_7,cldice_1,cldice_9,cldice_15,cldice_20,cldice_21,nsd_24,nsd_25,nsd_23
BDMAP_O0000049,83.73516203783022,85.13232621517777,93.39765148886997,13.507878244633071,95.37350249552304,72.90049924934121,0.0,51.86265873027654,17.478625432039234,32.965282474288706,87.76119402985074,60.05902606984751,nan,nan,7.4074074074074066,65.1222303495957,45.49843913544476,35.03331680599949
BDMAP_O0000258,78.66380817929871,96.10166519090991,93.1189302925959,71.2486565525804,95.35107061181628,13.40887490033631,65.6996101069706,66.2205264267654,74.27498136105511,76.37436366529539,94.3820224719101,100.0,50.0,50.0,23.88059701492537,nan,36.66389934422617,15.120181157820383
BDMAP_O0000021,91.74398388503029,93.75149514571062,80.29882803439722,58.188431918025195,97.50029715275349,46.44836131386164,40.31621170731942,86.08551459060823,72.16802178070614,56.07137931515914,92.13483146067416,97.67441860465117,56.07883817427386,70.96774193548387,52.0,0.0,2.4272759597941316,0.0
BDMAP_O0000003,84.29105406731608,96.51036924810583,96.87063833082117,76.50777141352302,96.60860630745373,52.70859518004395,87.88325439809319,71.76706008011506,52.27611042043121,87.01634279611447,79.58115183246073,97.36842105263158,84.04850746268656,65.88881262868908,70.98121085594988,nan,nan,6.978696023543051
BDMAP_O0000029,87.39562321346719,98.14383973926378,97.40188370081401,74.27020417611105,98.3184690880405,68.80087064377773,58.613904830684184,78.06283730057828,79.05526555496304,76.88526640347739,89.63892249888555,97.87234042553192,53.52112676056338,87.47697974217311,72.5875320239112,0.0,nan,0.0
BDMAP_O0000016,82.4633302864467,97.2263256099075,96.61087924842201,52.27106613076945,95.27100362964332,68.2359485665747,80.1519198439362,82.48392983217417,68.33076070875009,73.2045673885732,95.93827893175073,100.0,37.111517367458866,67.03296703296702,81.53921091086215,nan,0.0,51.88520089539057
BDMAP_O0000059,92.88712928058666,99.19290470672371,98.11673745164094,73.8963693877851,98.12049629373875,78.54386825096276,62.98499572003767,60.14118967358766,77.9719183711175,89.82665322040721,100.0,97.22222222222221,98.37837837837839,90.95477386934674,75.30864197530863,nan,72.09298131486773,0.0
BDMAP_O0000259,89.47329563559111,97.06627690603722,93.79748289653622,69.68011610872261,96.02289076660908,50.43940546695224,72.77034211810286,69.61975011974786,50.505972332024164,76.93782299983461,100.0,100.0,85.79599618684462,83.83838383838385,61.40350877192983,nan,0.0,3.2855566278170345
BDMAP_O0000023,75.92042461344964,92.99327976433912,95.88866805677682,50.03904577323715,85.84699777146318,9.017277841717423,71.96378445433292,87.33174177909416,62.99940193541419,48.16412374061969,97.0059880239521,91.31516814498117,24.16918429003021,nan,80.96885813148789,0.0,16.088652320894756,12.526165838303488
BDMAP_O0000038,88.33660176250568,91.73847140803612,96.27430818404285,73.14589731469022,96.78167032438921,92.53133306847734,75.8706797445829,82.75744451193592,70.52546853538672,49.728276092242744,87.45173745173746,94.8530819096439,47.63930242450021,nan,54.60620525059666,nan,nan,62.598573841086235
BDMAP_O0000096,97.40784746064335,99.14147870156518,99.24990524837251,83.81739678357602,98.85751825722926,94.62584931596088,98.42367779349378,90.58237053082644,92.91964775798066,64.9357676360447,86.45161290322582,100.0,80.03733084461037,98.2078853046595,72.46376811594203,nan,nan,17.975640452747196
BDMAP_O0000012,93.65465452789627,97.48208465984693,97.46437705111826,76.60646245108308,98.55583424953713,25.88730955904533,76.32501115293958,73.16830450098897,53.78674141063533,54.30475488938643,93.64791288566244,80.36603177441951,5.427974947807932,nan,nan,nan,25.268996730480186,0.0
BDMAP_O0000018,56.915062334806656,66.04988103356939,82.04395579339192,54.61276737241012,84.45987221627462,74.20142295221966,57.60828094234588,10.111930714652042,60.86318314391188,36.02519896457302,87.08133971291866,89.97071958829966,nan,54.47070914696813,38.12709030100334,nan,nan,8.975724275569714
BDMAP_O0000046,75.39552810126922,95.39028235989191,86.18906574547405,23.18096881924031,93.88414966553292,0.0,39.819363581608094,42.44489595030661,54.30373122422907,43.54045359994628,92.25736095965104,97.83323879750425,73.99794450154162,nan,35.7593605384939,nan,0.0,39.02832072560472
BDMAP_O0000048,82.826373222604,95.6390740344528,94.61984704016334,35.821834615493536,80.51486079640168,15.724737623095375,66.27986848338836,74.22581738119098,45.807730659075794,45.927186437778055,95.03562071976836,98.59872611464968,28.109028960817717,nan,nan,nan,0.0,38.85347986227049
BDMAP_O0000022,93.1159605020403,97.24043702485623,94.5741235753353,70.8452376567372,95.77261584083624,84.0747345070654,84.65574202229288,75.35329506947758,46.20316383193595,88.44055067718077,97.2972972972973,98.85111163013134,36.52173913043478,68.25778324297133,49.57544088830829,0.0,nan,33.480723403819496
BDMAP_O0000058,90.98087571184173,98.26177894164209,98.10111901850786,69.58547207539037,97.98233024671387,64.16226424694011,86.71764858542973,64.89150944825094,88.16040974059027,92.5519445299582,100.0,100.0,91.29786176031824,3.0262964595269577,78.42552818444814,nan,0.0,4.478209409461862
BDMAP_O0000050,92.64956609034289,97.49577302276808,96.02362890983542,68.62123059171272,95.02619442695949,75.65429372808535,83.28054517272356,76.86351194406562,44.29519290060109,53.42996826253956,95.70405727923628,97.74647887323944,17.660550458715598,31.93436415272957,52.08333333333333,0.0,5.061867900240201,49.561610019012896
BDMAP_O0000014,83.27798318604404,95.47427047133064,91.9769433778674,60.771726171354565,90.60031283821725,58.86249613114426,81.73778538132737,75.36348094059797,72.71173303061879,35.689127769304065,93.20987654320987,85.85365853658537,67.4432863274065,62.68235294117647,23.076923076923073,nan,nan,10.184385715836083
BDMAP_O0000033,90.61903680206235,97.15805034236394,97.23115435444456,70.73790863316376,93.15246136638082,84.93079353268573,67.26497292763707,72.14405570513985,75.47978132413252,69.52599284798005,90.51987767584097,95.08716323296355,58.615136876006446,68.14555952290512,56.91588785046729,nan,nan,63.785760547481054
BDMAP_O0000019,86.20116084578233,91.30989183910042,94.49622017264659,66.82097272623541,88.44281793546999,21.743953114867693,0.0,83.15627128484252,80.15378583801035,71.52355214934192,89.97849753652879,99.43512741546857,60.85260518250208,nan,65.0,13.486770068609976,10.749085206460549,1.6903899016739226
BDMAP_O0000043,86.58167481540937,94.4502043818391,97.21715502313856,56.93248326350315,95.76634322510013,3.9674398230535055,61.88946251213861,55.198404635625806,78.54110697750937,42.41744353023922,95.91474245115454,97.38765224695506,36.490008688097305,nan,nan,nan,3.351257100387872,13.680422527004419
