case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000049,40.073847701056145,23.55944571147581,30.17720898418107,0.9430470396778216,19.256828053205005,19.727639396567433,0.0,29.431946908332108,0.0,0.7556857538623657,8.026368393385564,29.85386954839489,0.0,28.458043511297422,0.0,nan,nan,0.0,22.903050740419907,4.004509223892786
BDMAP_O0000259,74.67831879737855,80.75429658887839,89.83236689032644,59.17589264521688,79.6799267455778,52.654605012653775,0.0,77.82594692817867,32.66699003448028,78.59148094011107,82.85672299413496,82.90718537083887,83.93588077965988,68.87459771327377,52.30601003461132,nan,nan,15.357487129950018,26.080673208306287,17.215411692253053
BDMAP_O0000018,57.06218243114118,39.80097469918307,65.33399079263556,46.78272103158879,44.62204575991757,64.59081806789328,43.79909261371754,14.252873457164087,51.22969518792468,42.00131156476233,78.48174266586716,71.07859118303712,81.19280086310486,53.666346056646965,29.670268400529352,nan,nan,4.216507560857429,3.431396087114686,3.6235239832631922
BDMAP_O0000065,40.685098822342034,77.98659097053765,73.62108033467398,54.08849956879062,49.61528095716759,35.11268675084393,51.7071601103964,39.99373524795098,18.964904961417442,26.063866138687104,65.1070904487765,72.32552873404202,0.0,27.98363808947467,44.734791063246234,nan,nan,18.824927545223925,20.31163236151985,6.211920792246853
BDMAP_O0000029,30.718893340969295,53.75089579574631,54.324040670171044,45.63624452847414,32.91184451587084,34.607908527290064,70.00197571042143,53.533456131360104,24.83377227990454,56.67235540552343,64.2126495994672,68.45816433226433,49.694061737086734,23.720258550584678,44.30371989363961,nan,nan,9.080726649845342,30.054478330816327,7.150399298792581
BDMAP_O0000030,55.16439054133825,37.083202033201054,20.042754375716257,3.5466581905925194,22.829011066891752,25.92040535912622,0.0,0.0,0.0,4.509868706951553,72.46281309252778,40.145376743889535,11.83144327288496,26.71462985311239,51.43164845039926,nan,nan,4.7695660726145235,15.477511924394175,2.260752424859821
BDMAP_O0000016,45.56282692956407,80.87180046443396,88.02037856443536,45.084012831049854,65.86160217551459,24.059148840796713,0.0,66.50609476238239,27.145643907695522,43.029208171009806,74.60839061432773,82.79213915906689,0.0,41.59354122531071,16.957485512991795,nan,nan,24.69024096703097,26.12988984058726,6.572407685603636
BDMAP_O0000034,59.67174307606693,67.66285708828707,85.46822664280779,36.990295850543745,71.50690967586894,48.41690199371553,60.3769938872195,65.78994341613547,12.441191664234108,63.96543829726319,74.76122784760888,86.39562549343434,54.44020526888954,66.87494745344551,54.354033267708566,nan,nan,23.398099969457025,10.140041845573853,14.419941446999454
BDMAP_O0000059,39.66044464058145,84.79288506728261,85.8841482073007,59.542541945375895,41.56217186998188,70.86928943680441,79.01261965141066,69.39459923636853,75.13422675135001,72.6713092338403,71.44566880147283,86.9170101798922,86.97421396904552,51.219763611944956,57.635276964911974,nan,nan,5.885794562465134,44.113048200387084,36.28524957624702
BDMAP_O0000023,42.76906800275413,22.812550612898868,71.66421737749796,0.0,49.325802012474874,0.0,0.0,20.743465329045176,3.765989755928978,4.507742434223705,55.24454858451443,45.23430274279545,0.0,0.0,41.30816825327562,nan,nan,6.351292832486682,6.15101274868407,3.4260907994665053
BDMAP_O0000012,78.26804499623675,79.70151540046683,98.45057422733096,66.9330862134757,95.18547388146104,42.829519512736134,43.44900139445029,53.391814495188584,51.39889887223965,50.651098775800264,79.75922425010634,73.56621455429448,48.67706806163321,23.306417641367677,25.11154372480323,nan,nan,18.71836299874727,4.681315713811026,1.7741057069824544
BDMAP_O0000011,51.36368857213597,61.789112493001475,75.80070577114674,22.401805749882158,34.93736955015515,0.0,80.04131809197908,7.482020118793767,14.687829762311422,7.72543416268596,37.183145006942645,59.187903186185075,34.65633679235319,36.50228885672606,0.0,nan,nan,0.0,19.35143324325381,10.118787891285702
BDMAP_O0000031,55.79501343214809,86.44079605062538,89.69334929954297,59.32360358297457,72.41146308560839,75.52289704241724,61.71742037702024,60.92637895603422,21.514308665369093,69.16975888094407,70.16179804829143,79.8820644550226,0.0,19.390526043437443,73.85215266775609,nan,nan,39.11259248749091,32.468746439189935,12.254896612784156
BDMAP_O0000028,69.26311906971225,71.80171799956287,73.68500136443828,1.5668033889641824,69.33271274599015,29.14200838447879,53.87036633357339,0.0,7.227634001732769,0.0,71.53130858106329,69.75281349886549,20.223617893452285,11.7179125750054,66.11495525626955,nan,nan,51.164479656363895,8.458606321797884,0.0
BDMAP_O0000003,53.19342837803972,81.08075184455791,74.43547478246687,34.623883008716284,77.25983782817711,44.32862915002007,80.32466905579415,0.0,46.43161898668222,68.68703442185101,75.74746393934024,67.10022724432872,39.043244216591894,53.238592486383574,53.92620641482764,nan,nan,19.974933224579996,22.00866994590381,15.745530603281038
BDMAP_O0000033,70.07753107167146,77.1143760898063,95.6249682980225,46.76137224896234,77.05336817535486,69.74162320828377,49.32838124564914,78.64602391985937,59.111247078783535,65.2258252708034,68.88565311486306,67.61437695715712,62.93035384524656,80.66618118730786,78.66480244596275,nan,nan,37.46843360815939,16.33378577633736,14.376233311982672
BDMAP_O0000096,81.80900868947649,90.37892001848843,89.45143110061095,51.04896579391299,81.28773588750278,91.30939041771914,77.50912103138013,94.59238961179025,80.85279464929569,70.59856612212629,89.2795729310452,87.39098641930691,90.23122654536185,80.09959659258088,79.1316251160583,nan,nan,39.982757453410514,30.434759067868143,2.553866974093435
BDMAP_O0000050,48.856511411442064,80.32791039974842,85.1824666280533,36.100994155963576,62.53645852613431,38.72163524564135,48.5756345304506,48.989070393889044,34.118192492871984,24.720105083974396,59.54764059394946,53.88180567481129,7.099929491642007,12.243912617165748,64.93842786126704,nan,nan,12.72757767913604,18.7096188996176,10.97426262790947
BDMAP_O0000046,47.266723197959955,82.15855427666831,83.48111160367829,3.3724485447878565,49.27749244388567,0.0,45.190026921117656,8.990768030918991,16.642964597179873,7.029186340051255,54.384480558191726,70.87831942150737,16.732390960884647,37.461398631287615,24.46490445395616,nan,nan,0.0,16.892306689127366,2.792356023299344
BDMAP_O0000043,73.9761556185483,78.38694386741182,92.4423949227698,69.41603722936955,90.70907901518693,34.07862219322643,79.63705675212609,72.51131559392844,86.04482349681332,67.38499295437805,84.23463841129556,66.70214346232143,98.13673319744038,41.45650406717885,45.53976335763544,nan,nan,0.0,29.18158834932319,8.092911672504586
BDMAP_O0000036,20.48063679123357,63.272975511739894,71.47784396892072,3.9313255699267025,29.647802639387926,0.0,0.0,13.861604826731892,9.443449757488288,0.7154028297748957,3.96881499321909,34.86989496697937,0.0,0.0,0.0,nan,nan,nan,27.610550649426465,0.8579740227384369
